Número de documentos (noticias) del corpus: 305
Número de palabras del corpus: 5005
Palabra:  Frec.:1326 LogProb: -1.46
Palabra: water Frec.:1 LogProb: -7.96
Palabra: occur Frec.:1 LogProb: -7.96
Palabra: cargotec Frec.:2 LogProb: -7.55
Palabra: thomson Frec.:2 LogProb: -7.55
Palabra: chang Frec.:3 LogProb: -7.26
Palabra: littl Frec.:1 LogProb: -7.96
Palabra: sharpli Frec.:2 LogProb: -7.55
Palabra: mani Frec.:1 LogProb: -7.96
Palabra: stuck Frec.:1 LogProb: -7.96
Palabra: vessel Frec.:2 LogProb: -7.55
Palabra: got Frec.:2 LogProb: -7.55
Palabra: narrow Frec.:1 LogProb: -7.96
Palabra: bay Frec.:1 LogProb: -7.96
Palabra: bothnia Frec.:1 LogProb: -7.96
Palabra: ice Frec.:1 LogProb: -7.96
Palabra: thicker Frec.:1 LogProb: -7.96
Palabra: around Frec.:1 LogProb: -7.96
Palabra: aaland Frec.:1 LogProb: -7.96
Palabra: island Frec.:2 LogProb: -7.55
Palabra: pm Frec.:3 LogProb: -7.26
Palabra: believ Frec.:1 LogProb: -7.96
Palabra: reserv Frec.:1 LogProb: -7.96
Palabra: rerout Frec.:1 LogProb: -7.96
Palabra: effect Frec.:2 LogProb: -7.55
Palabra: currenc Frec.:3 LogProb: -7.26
Palabra: damag Frec.:2 LogProb: -7.55
Palabra: vanhanen Frec.:1 LogProb: -7.96
Palabra: particip Frec.:1 LogProb: -7.96
Palabra: begin Frec.:2 LogProb: -7.55
Palabra: arriv Frec.:1 LogProb: -7.96
Palabra: oneday Frec.:1 LogProb: -7.96
Palabra: summit Frec.:1 LogProb: -7.96
Palabra: russian Frec.:2 LogProb: -7.55
Palabra: presid Frec.:1 LogProb: -7.96
Palabra: vladimir Frec.:1 LogProb: -7.96
Palabra: putin Frec.:1 LogProb: -7.96
Palabra: lahti Frec.:1 LogProb: -7.96
Palabra: kilomet Frec.:1 LogProb: -7.96
Palabra: mile Frec.:1 LogProb: -7.96
Palabra: employ Frec.:1 LogProb: -7.96
Palabra: roce Frec.:1 LogProb: -7.96
Palabra: subsequ Frec.:1 LogProb: -7.96
Palabra: ntsb Frec.:1 LogProb: -7.96
Palabra: advisori Frec.:1 LogProb: -7.96
Palabra: test Frec.:2 LogProb: -7.55
Palabra: train Frec.:1 LogProb: -7.96
Palabra: detect Frec.:1 LogProb: -7.96
Palabra: intermitt Frec.:1 LogProb: -7.96
Palabra: fail Frec.:3 LogProb: -7.26
Palabra: lassila Frec.:3 LogProb: -7.26
Palabra: environment Frec.:1 LogProb: -7.96
Palabra: tikanoja Frec.:3 LogProb: -7.26
Palabra: latv Frec.:1 LogProb: -7.96
Palabra: àland Frec.:4 LogProb: -7.04
Palabra: àlandsbanken Frec.:2 LogProb: -7.55
Palabra: hasten Frec.:1 LogProb: -7.96
Palabra: sel Frec.:1 LogProb: -7.96
Palabra: plan Frec.:3 LogProb: -7.26
Palabra: collect Frec.:1 LogProb: -7.96
Palabra: bargain Frec.:1 LogProb: -7.96
Palabra: twoday Frec.:1 LogProb: -7.96
Palabra: yit Frec.:3 LogProb: -7.26
Palabra: vaia Frec.:1 LogProb: -7.96
Palabra: confirm Frec.:2 LogProb: -7.55
Palabra: yearago Frec.:2 LogProb: -7.55
Palabra: given Frec.:4 LogProb: -7.04
Palabra: interim Frec.:3 LogProb: -7.26
Palabra: incom Frec.:2 LogProb: -7.55
Palabra: liquid Frec.:3 LogProb: -7.26
Palabra: kemijñrvi Frec.:1 LogProb: -7.96
Palabra: also Frec.:5 LogProb: -6.86
Palabra: loos Frec.:2 LogProb: -7.55
Palabra: rautaruukki Frec.:2 LogProb: -7.55
Palabra: rtrk Frec.:2 LogProb: -7.55
Palabra: ruukki Frec.:2 LogProb: -7.55
Palabra: largerthanexpect Frec.:1 LogProb: -7.96
Palabra: marketwatch Frec.:1 LogProb: -7.96
Palabra: london Frec.:2 LogProb: -7.55
Palabra: rebound Frec.:1 LogProb: -7.96
Palabra: offset Frec.:1 LogProb: -7.96
Palabra: broader Frec.:1 LogProb: -7.96
Palabra: ftse Frec.:1 LogProb: -7.96
Palabra: wast Frec.:1 LogProb: -7.96
Palabra: clean Frec.:1 LogProb: -7.96
Palabra: kesbv Frec.:1 LogProb: -7.96
Palabra: valu Frec.:3 LogProb: -7.26
Palabra: vat Frec.:1 LogProb: -7.96
Palabra: stood Frec.:1 LogProb: -7.96
Palabra: januari Frec.:2 LogProb: -7.55
Palabra: yearonyea Frec.:1 LogProb: -7.96
Palabra: okmet Frec.:3 LogProb: -7.26
Palabra: less Frec.:3 LogProb: -7.26
Palabra: gain Frec.:1 LogProb: -7.96
Palabra: glisten Frec.:1 LogProb: -7.96
Palabra: brand Frec.:1 LogProb: -7.96
Palabra: team Frec.:1 LogProb: -7.96
Palabra: scfv Frec.:1 LogProb: -7.96
Palabra: merg Frec.:1 LogProb: -7.96
Palabra: wholli Frec.:1 LogProb: -7.96
Palabra: own Frec.:1 LogProb: -7.96
Palabra: em Frec.:1 LogProb: -7.96
Palabra: ojalayhtyma Frec.:1 LogProb: -7.96
Palabra: snag Frec.:1 LogProb: -7.96
Palabra: sharehold Frec.:2 LogProb: -7.55
Palabra: domest Frec.:2 LogProb: -7.55
Palabra: reject Frec.:1 LogProb: -7.96
Palabra: deal Frec.:1 LogProb: -7.96
Palabra: fold Frec.:1 LogProb: -7.96
Palabra: see Frec.:2 LogProb: -7.55
Palabra: interest Frec.:2 LogProb: -7.55
Palabra: weaken Frec.:1 LogProb: -7.96
Palabra: comment Frec.:2 LogProb: -7.55
Palabra: relat Frec.:1 LogProb: -7.96
Palabra: ashley Frec.:1 LogProb: -7.96
Palabra: criticis Frec.:1 LogProb: -7.96
Palabra: analyst Frec.:1 LogProb: -7.96
Palabra: cri Frec.:1 LogProb: -7.96
Palabra: babi Frec.:1 LogProb: -7.96
Palabra: glaston Frec.:1 LogProb: -7.96
Palabra: glass Frec.:1 LogProb: -7.96
Palabra: sach Frec.:1 LogProb: -7.96
Palabra: goldman Frec.:1 LogProb: -7.96
Palabra: prospect Frec.:2 LogProb: -7.55
Palabra: norwegian Frec.:1 LogProb: -7.96
Palabra: mobil Frec.:3 LogProb: -7.26
Palabra: norway Frec.:1 LogProb: -7.96
Palabra: telenor Frec.:1 LogProb: -7.96
Palabra: asa Frec.:1 LogProb: -7.96
Palabra: osl Frec.:1 LogProb: -7.96
Palabra: tel Frec.:1 LogProb: -7.96
Palabra: sweden Frec.:1 LogProb: -7.96
Palabra: teliasonera Frec.:1 LogProb: -7.96
Palabra: sto Frec.:1 LogProb: -7.96
Palabra: tlsn Frec.:1 LogProb: -7.96
Palabra: annual Frec.:2 LogProb: -7.55
Palabra: eek Frec.:2 LogProb: -7.55
Palabra: flow Frec.:3 LogProb: -7.26
Palabra: eight Frec.:1 LogProb: -7.96
Palabra: beer Frec.:2 LogProb: -7.55
Palabra: midstrength Frec.:1 LogProb: -7.96
Palabra: area Frec.:1 LogProb: -7.96
Palabra: devic Frec.:1 LogProb: -7.96
Palabra: repeat Frec.:1 LogProb: -7.96
Palabra: yy Frec.:1 LogProb: -7.96
Palabra: newsroom Frec.:1 LogProb: -7.96
Palabra: keyword Frec.:1 LogProb: -7.96
Palabra: tecnomenresult Frec.:1 LogProb: -7.96
Palabra: januarydecemb Frec.:1 LogProb: -7.96
Palabra: geosentr Frec.:1 LogProb: -7.96
Palabra: januarymarch Frec.:1 LogProb: -7.96
Palabra: carrier Frec.:1 LogProb: -7.96
Palabra: paper Frec.:2 LogProb: -7.55
Palabra: magazin Frec.:1 LogProb: -7.96
Palabra: coat Frec.:1 LogProb: -7.96
Palabra: capac Frec.:1 LogProb: -7.96
Palabra: load Frec.:2 LogProb: -7.55
Palabra: factor Frec.:3 LogProb: -7.26
Palabra: calcul Frec.:1 LogProb: -7.96
Palabra: explain Frec.:1 LogProb: -7.96
Palabra: steelmak Frec.:1 LogProb: -7.96
Palabra: mix Frec.:1 LogProb: -7.96
Palabra: drought Frec.:1 LogProb: -7.96
Palabra: find Frec.:1 LogProb: -7.96
Palabra: increasingli Frec.:1 LogProb: -7.96
Palabra: difficult Frec.:1 LogProb: -7.96
Palabra: handl Frec.:2 LogProb: -7.55
Palabra: biohit Frec.:1 LogProb: -7.96
Palabra: diagnost Frec.:1 LogProb: -7.96
Palabra: laboratori Frec.:1 LogProb: -7.96
Palabra: biobv Frec.:1 LogProb: -7.96
Palabra: longer Frec.:1 LogProb: -7.96
Palabra: meat Frec.:1 LogProb: -7.96
Palabra: suffici Frec.:1 LogProb: -7.96
Palabra: promis Frec.:1 LogProb: -7.96
Palabra: beef Frec.:1 LogProb: -7.96
Palabra: ssh Frec.:1 LogProb: -7.96
Palabra: secur Frec.:1 LogProb: -7.96
Palabra: exchang Frec.:2 LogProb: -7.55
Palabra: releas Frec.:2 LogProb: -7.55
Palabra: updat Frec.:1 LogProb: -7.96
Palabra: full Frec.:2 LogProb: -7.55
Palabra: earli Frec.:1 LogProb: -7.96
Palabra: afternoon Frec.:1 LogProb: -7.96
Palabra: post Frec.:4 LogProb: -7.04
Palabra: surpris Frec.:1 LogProb: -7.96
Palabra: apriljun Frec.:1 LogProb: -7.96
Palabra: overshadow Frec.:1 LogProb: -7.96
Palabra: number Frec.:4 LogProb: -7.04
Palabra: receiv Frec.:1 LogProb: -7.96
Palabra: kemira Frec.:1 LogProb: -7.96
Palabra: salcomp Frec.:2 LogProb: -7.55
Palabra: charger Frec.:2 LogProb: -7.55
Palabra: plc Frec.:1 LogProb: -7.96
Palabra: salv Frec.:1 LogProb: -7.96
Palabra: novemb Frec.:1 LogProb: -7.96
Palabra: fullyear Frec.:3 LogProb: -7.26
Palabra: copper Frec.:1 LogProb: -7.96
Palabra: hbo Frec.:2 LogProb: -7.55
Palabra: nickel Frec.:1 LogProb: -7.96
Palabra: plummet Frec.:1 LogProb: -7.96
Palabra: penc Frec.:1 LogProb: -7.96
Palabra: yearó Frec.:1 LogProb: -7.96
Palabra: reduc Frec.:3 LogProb: -7.26
Palabra: startup Frec.:1 LogProb: -7.96
Palabra: marketfinanc Frec.:1 LogProb: -7.96
Palabra: residenti Frec.:1 LogProb: -7.96
Palabra: previous Frec.:3 LogProb: -7.26
Palabra: tietoen Frec.:1 LogProb: -7.96
Palabra: extend Frec.:1 LogProb: -7.96
Palabra: week Frec.:1 LogProb: -7.96
Palabra: tariff Frec.:1 LogProb: -7.96
Palabra: describ Frec.:1 LogProb: -7.96
Palabra: karvinen Frec.:1 LogProb: -7.96
Palabra: jouko Frec.:1 LogProb: -7.96
Palabra: chief Frec.:1 LogProb: -7.96
Palabra: hike Frec.:1 LogProb: -7.96
Palabra: threat Frec.:1 LogProb: -7.96
Palabra: futur Frec.:1 LogProb: -7.96
Palabra: alma Frec.:1 LogProb: -7.96
Palabra: adjust Frec.:1 LogProb: -7.96
Palabra: contrast Frec.:1 LogProb: -7.96
Palabra: notabl Frec.:1 LogProb: -7.96
Palabra: especi Frec.:2 LogProb: -7.55
Palabra: aug Frec.:1 LogProb: -7.96
Palabra: compris Frec.:1 LogProb: -7.96
Palabra: omxn Frec.:1 LogProb: -7.96
Palabra: nasdaq Frec.:1 LogProb: -7.96
Palabra: seat Frec.:2 LogProb: -7.55
Palabra: avail Frec.:1 LogProb: -7.96
Palabra: crisi Frec.:2 LogProb: -7.55
Palabra: figur Frec.:2 LogProb: -7.55
Palabra: poorest Frec.:1 LogProb: -7.96
Palabra: fortum Frec.:1 LogProb: -7.96
Palabra: along Frec.:1 LogProb: -7.96
Palabra: effici Frec.:1 LogProb: -7.96
Palabra: fallen Frec.:1 LogProb: -7.96
Palabra: unfortun Frec.:1 LogProb: -7.96
Palabra: economi Frec.:1 LogProb: -7.96
Palabra: associ Frec.:2 LogProb: -7.55
Palabra: cover Frec.:1 LogProb: -7.96
Palabra: breweri Frec.:2 LogProb: -7.55
Palabra: actual Frec.:1 LogProb: -7.96
Palabra: plumb Frec.:2 LogProb: -7.55
Palabra: uponor Frec.:3 LogProb: -7.26
Palabra: heat Frec.:2 LogProb: -7.55
Palabra: julyseptemb Frec.:1 LogProb: -7.96
Palabra: incur Frec.:2 LogProb: -7.55
Palabra: day Frec.:1 LogProb: -7.96
Palabra: peopl Frec.:1 LogProb: -7.96
Palabra: layoff Frec.:1 LogProb: -7.96
Palabra: affect Frec.:2 LogProb: -7.55
Palabra: affecto Frec.:1 LogProb: -7.96
Palabra: afev Frec.:1 LogProb: -7.96
Palabra: properti Frec.:2 LogProb: -7.55
Palabra: fair Frec.:2 LogProb: -7.55
Palabra: sverig Frec.:1 LogProb: -7.96
Palabra: acquisit Frec.:1 LogProb: -7.96
Palabra: burden Frec.:2 LogProb: -7.55
Palabra: broadband Frec.:1 LogProb: -7.96
Palabra: deliveri Frec.:1 LogProb: -7.96
Palabra: fix Frec.:1 LogProb: -7.96
Palabra: china Frec.:1 LogProb: -7.96
Palabra: restructur Frec.:1 LogProb: -7.96
Palabra: japan Frec.:1 LogProb: -7.96
Palabra: ramir Frec.:1 LogProb: -7.96
Palabra: made Frec.:2 LogProb: -7.55
Palabra: black Frec.:1 LogProb: -7.96
Palabra: one Frec.:1 LogProb: -7.96
Palabra: siemen Frec.:1 LogProb: -7.96
Palabra: territori Frec.:1 LogProb: -7.96
Palabra: shed Frec.:1 LogProb: -7.96
Palabra: upmkymmen Frec.:1 LogProb: -7.96
Palabra: mreal Frec.:1 LogProb: -7.96
Palabra: solidium Frec.:1 LogProb: -7.96
Palabra: obtain Frec.:1 LogProb: -7.96
Palabra: tikkurila Frec.:1 LogProb: -7.96
Palabra: ninemonth Frec.:1 LogProb: -7.96
Palabra: estat Frec.:1 LogProb: -7.96
Palabra: real Frec.:1 LogProb: -7.96
Palabra: xa Frec.:4 LogProb: -7.04
Palabra: tougher Frec.:1 LogProb: -7.96
Palabra: substanti Frec.:1 LogProb: -7.96
Palabra: bread Frec.:1 LogProb: -7.96
Palabra: packag Frec.:1 LogProb: -7.96
Palabra: kauhava Frec.:1 LogProb: -7.96
Palabra: archipelago Frec.:1 LogProb: -7.96
Palabra: comptel Frec.:1 LogProb: -7.96
Palabra: base Frec.:2 LogProb: -7.55
Palabra: exist Frec.:1 LogProb: -7.96
Palabra: backlog Frec.:1 LogProb: -7.96
Palabra: gross Frec.:1 LogProb: -7.96
Palabra: stay Frec.:1 LogProb: -7.96
Palabra: healthi Frec.:1 LogProb: -7.96
Palabra: lita Frec.:1 LogProb: -7.96
Palabra: payment Frec.:1 LogProb: -7.96
Palabra: longterm Frec.:1 LogProb: -7.96
Palabra: raguti Frec.:2 LogProb: -7.55
Palabra: le Frec.:1 LogProb: -7.96
Palabra: coq Frec.:1 LogProb: -7.96
Palabra: parent Frec.:1 LogProb: -7.96
Palabra: hkscan Frec.:1 LogProb: -7.96
Palabra: ceo Frec.:1 LogProb: -7.96
Palabra: matti Frec.:1 LogProb: -7.96
Palabra: perkonoja Frec.:1 LogProb: -7.96
Palabra: clearli Frec.:1 LogProb: -7.96
Palabra: geberit Frec.:1 LogProb: -7.96
Palabra: forecast Frec.:1 LogProb: -7.96
Palabra: blame Frec.:1 LogProb: -7.96
Palabra: tough Frec.:2 LogProb: -7.55
Palabra: condit Frec.:1 LogProb: -7.96
Palabra: germani Frec.:2 LogProb: -7.55
Palabra: well Frec.:1 LogProb: -7.96
Palabra: januarynovemb Frec.:1 LogProb: -7.96
Palabra: ponss Frec.:1 LogProb: -7.96
Palabra: machineri Frec.:1 LogProb: -7.96
Palabra: thank Frec.:1 LogProb: -7.96
Palabra: claim Frec.:1 LogProb: -7.96
Palabra: nest Frec.:1 LogProb: -7.96
Palabra: counter Frec.:1 LogProb: -7.96
Palabra: lodg Frec.:1 LogProb: -7.96
Palabra: oil Frec.:1 LogProb: -7.96
Palabra: primarili Frec.:1 LogProb: -7.96
Palabra: work Frec.:1 LogProb: -7.96
Palabra: addit Frec.:1 LogProb: -7.96
Palabra: prolong Frec.:1 LogProb: -7.96
Palabra: imput Frec.:1 LogProb: -7.96
Palabra: breakeven Frec.:1 LogProb: -7.96
Palabra: norvestia Frec.:1 LogProb: -7.96
Palabra: wafer Frec.:1 LogProb: -7.96
Palabra: silicon Frec.:1 LogProb: -7.96
Palabra: sep Frec.:1 LogProb: -7.96
Palabra: okmv Frec.:1 LogProb: -7.96
Palabra: cleric Frec.:1 LogProb: -7.96
Palabra: worldwid Frec.:1 LogProb: -7.96
Palabra: personnel Frec.:1 LogProb: -7.96
Palabra: negoti Frec.:1 LogProb: -7.96
Palabra: complet Frec.:1 LogProb: -7.96
Palabra: airlin Frec.:1 LogProb: -7.96
Palabra: european Frec.:1 LogProb: -7.96
Palabra: airspac Frec.:1 LogProb: -7.96
Palabra: process Frec.:1 LogProb: -7.96
Palabra: recommenc Frec.:1 LogProb: -7.96
Palabra: strand Frec.:1 LogProb: -7.96
Palabra: accommod Frec.:1 LogProb: -7.96
Palabra: hardest Frec.:1 LogProb: -7.96
Palabra: ongo Frec.:1 LogProb: -7.96
Palabra: intern Frec.:3 LogProb: -7.26
Palabra: ss Frec.:1 LogProb: -7.96
Palabra: acando Frec.:1 LogProb: -7.96
Palabra: acanb Frec.:1 LogProb: -7.96
Palabra: kronor Frec.:1 LogProb: -7.96
Palabra: lowest Frec.:1 LogProb: -7.96
Palabra: sevenmonth Frec.:1 LogProb: -7.96
Palabra: control Frec.:1 LogProb: -7.96
Palabra: olvi Frec.:1 LogProb: -7.96
Palabra: held Frec.:1 LogProb: -7.96
Palabra: jan Frec.:1 LogProb: -7.96
Palabra: ford Frec.:1 LogProb: -7.96
Palabra: struggl Frec.:1 LogProb: -7.96
Palabra: face Frec.:1 LogProb: -7.96
Palabra: truck Frec.:1 LogProb: -7.96
Palabra: suv Frec.:1 LogProb: -7.96
Palabra: surfeit Frec.:1 LogProb: -7.96
Palabra: uptod Frec.:1 LogProb: -7.96
Palabra: ta Frec.:1 LogProb: -7.96
Palabra: fireplac Frec.:1 LogProb: -7.96
Palabra: ls Frec.:1 LogProb: -7.96
Palabra: altogeth Frec.:1 LogProb: -7.96
Palabra: hall Frec.:1 LogProb: -7.96
Palabra: hobbi Frec.:1 LogProb: -7.96
Palabra: meet Frec.:1 LogProb: -7.96
Palabra: gener Frec.:1 LogProb: -7.96
Palabra: advertis Frec.:1 LogProb: -7.96
Palabra: dilut Frec.:1 LogProb: -7.96
Palabra: tighten Frec.:1 LogProb: -7.96
Palabra: UNK Frec.:0 LogProb: -8.65119947126397
